Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Steenokkerzeel;1820;Steenokkerzeel;Niet-stedelijk;Steenokkerzeel;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kemzeke (Stekene);9190;Stekene;Niet-stedelijk;Kemzeke (Stekene);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Stekene;9190;Stekene;Niet-stedelijk;Stekene;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elversele (Temse);9140;Temse;Niet-stedelijk;Elversele (Temse);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Steendorp (Temse);9140;Temse;Niet-stedelijk;Steendorp (Temse);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Temse;9140;Temse;Niet-stedelijk;Temse;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tielrode (Temse);9140;Temse;Niet-stedelijk;Tielrode (Temse);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ternat;1740;Ternat;Niet-stedelijk;Ternat;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wambeek (Ternat);1741;Ternat;Niet-stedelijk;Wambeek (Ternat);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Katherina-Lombeek (Ternat);1742;Ternat;Niet-stedelijk;Sint-Katherina-Lombeek (Ternat);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Duisburg (Tervuren);3080;Tervuren;Niet-stedelijk;Duisburg (Tervuren);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tervuren;3080;Tervuren;Niet-stedelijk;Tervuren;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vossem (Tervuren);3080;Tervuren;Niet-stedelijk;Vossem (Tervuren);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tessenderlo;3980;Tessenderlo;Niet-stedelijk;Tessenderlo;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aarsele (Tielt);8700;Tielt;Niet-stedelijk;Aarsele (Tielt);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kanegem (Tielt);8700;Tielt;Niet-stedelijk;Kanegem (Tielt);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schuiferskapelle (Tielt);8700;Tielt;Niet-stedelijk;Schuiferskapelle (Tielt);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tielt;8700;Tielt;Niet-stedelijk;Tielt;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Joris-Winge (Tielt-Winge);3390;Tielt-Winge;Niet-stedelijk;Sint-Joris-Winge (Tielt-Winge);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tielt-Winge;3390;Tielt-Winge;Niet-stedelijk;Tielt-Winge;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hakendover (Tienen);3300;Tienen;Niet-stedelijk;Hakendover (Tienen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oplinter (Tienen);3300;Tienen;Niet-stedelijk;Oplinter (Tienen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tienen;3300;Tienen;Niet-stedelijk;Tienen;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vissenaken (Tienen);3300;Tienen;Niet-stedelijk;Vissenaken (Tienen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bost (Tienen);3300;Tienen;Niet-stedelijk;Bost (Tienen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Goetsenhoven (Tienen);3300;Tienen;Niet-stedelijk;Goetsenhoven (Tienen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Koninksem (Tongeren);3700;Tongeren;Niet-stedelijk;Koninksem (Tongeren);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nerem (Tongeren);3700;Tongeren;Niet-stedelijk;Nerem (Tongeren);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tongeren;3700;Tongeren;Niet-stedelijk;Tongeren;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Berg (Tongeren);3700;Tongeren;Niet-stedelijk;Berg (Tongeren);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Torhout;8820;Torhout;Niet-stedelijk;Torhout;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tremelo;3120;Tremelo;Niet-stedelijk;Tremelo;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Baal (Tremelo);3128;Tremelo;Niet-stedelijk;Baal (Tremelo);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Turnhout;2300;Turnhout;Centrumstad;Turnhout;Antwerp;Belgium;Antwerpen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Ukkel (Brussel);1180;Ukkel;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Booitshoeke (Veurne);8630;Veurne;Niet-stedelijk;Booitshoeke (Veurne);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bulskamp (Veurne);8630;Veurne;Niet-stedelijk;Bulskamp (Veurne);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Houtem (Veurne);8630;Veurne;Niet-stedelijk;Houtem (Veurne);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Steenkerke (Veurne);8630;Veurne;Niet-stedelijk;Steenkerke (Veurne);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Veurne;8630;Veurne;Niet-stedelijk;Veurne;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wulveringem (Veurne);8630;Veurne;Niet-stedelijk;Wulveringem (Veurne);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Peutie (Vilvoorde);1800;Vilvoorde;Niet-stedelijk;Peutie (Vilvoorde);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vilvoorde;1800;Vilvoorde;Niet-stedelijk;Vilvoorde;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westvleteren (Vleteren);8640;Vleteren;Niet-stedelijk;Westvleteren (Vleteren);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vleteren;8640;Vleteren;Niet-stedelijk;Vleteren;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vorselaar;2290;Vorselaar;Niet-stedelijk;Vorselaar;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vorst (Brussel);1190;Vorst;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Vosselaar;2350;Vosselaar;Niet-stedelijk;Vosselaar;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Waarschoot;9950;Waarschoot;Niet-stedelijk;Waarschoot;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Waasmunster;9250;Waasmunster;Niet-stedelijk;Waasmunster;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wachtebeke;9185;Wachtebeke;Niet-stedelijk;Wachtebeke;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Waregem;8790;Waregem;Niet-stedelijk;Waregem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beveren-Leie (Waregem);8791;Waregem;Niet-stedelijk;Beveren-Leie (Waregem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Desselgem (Waregem);8792;Waregem;Niet-stedelijk;Desselgem (Waregem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Eloois-Vijve (Waregem);8793;Waregem;Niet-stedelijk;Sint-Eloois-Vijve (Waregem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Watermaal-Bosvoorde (Brussel);1170;Watermaal-Bosvoorde;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Wellen;3830;Wellen;Niet-stedelijk;Wellen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wemmel;1780;Wemmel;Niet-stedelijk;Wemmel;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Geluwe (Wervik);8940;Wervik;Niet-stedelijk;Geluwe (Wervik);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wervik;8940;Wervik;Niet-stedelijk;Wervik;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heultje (Westerlo);2260;Westerlo;Niet-stedelijk;Heultje (Westerlo);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oosterwijk (Westerlo);2260;Westerlo;Niet-stedelijk;Oosterwijk (Westerlo);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tongerlo (Westerlo);2260;Westerlo;Niet-stedelijk;Tongerlo (Westerlo);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westerlo;2260;Westerlo;Niet-stedelijk;Westerlo;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zoerle-Parwijs (Westerlo);2260;Westerlo;Niet-stedelijk;Zoerle-Parwijs (Westerlo);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Voortkapel (Westerlo);2260;Westerlo;Niet-stedelijk;Voortkapel (Westerlo);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Massemen (Wetteren);9230;Wetteren;Niet-stedelijk;Massemen (Wetteren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wetteren;9230;Wetteren;Niet-stedelijk;Wetteren;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gullegem (Wevelgem);8560;Wevelgem;Niet-stedelijk;Gullegem (Wevelgem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moorsele (Wevelgem);8560;Wevelgem;Niet-stedelijk;Moorsele (Wevelgem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wevelgem;8560;Wevelgem;Niet-stedelijk;Wevelgem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wezembeek-Oppem;1970;Wezembeek-Oppem;Niet-stedelijk;Wezembeek-Oppem;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schellebelle (Wichelen);9260;Wichelen;Niet-stedelijk;Schellebelle (Wichelen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Serskamp (Wichelen);9260;Wichelen;Niet-stedelijk;Serskamp (Wichelen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wichelen;9260;Wichelen;Niet-stedelijk;Wichelen;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ooigem (Wielsbeke);8710;Wielsbeke;Niet-stedelijk;Ooigem (Wielsbeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Baafs-Vijve (Wielsbeke);8710;Wielsbeke;Niet-stedelijk;Sint-Baafs-Vijve (Wielsbeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wielsbeke;8710;Wielsbeke;Niet-stedelijk;Wielsbeke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wijnegem;2110;Wijnegem;Niet-stedelijk;Wijnegem;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Blaasveld (Willebroek);2830;Willebroek;Niet-stedelijk;Blaasveld (Willebroek);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tisselt (Willebroek);2830;Willebroek;Niet-stedelijk;Tisselt (Willebroek);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Willebroek;2830;Willebroek;Niet-stedelijk;Willebroek;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wingene;8750;Wingene;Niet-stedelijk;Wingene;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zwevezele (Wingene);8750;Wingene;Niet-stedelijk;Zwevezele (Wingene);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wommelgem;2160;Wommelgem;Niet-stedelijk;Wommelgem;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moregem (Wortegem-Petegem);9790;Wortegem-Petegem;Niet-stedelijk;Moregem (Wortegem-Petegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ooike (Wortegem-Petegem);9790;Wortegem-Petegem;Niet-stedelijk;Ooike (Wortegem-Petegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Petegem-Aan-De-Schelde (Wortegem-Petegem);9790;Wortegem-Petegem;Niet-stedelijk;Petegem-Aan-De-Schelde (Wortegem-Petegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wortegem-Petegem;9790;Wortegem-Petegem;Niet-stedelijk;Wortegem-Petegem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elsegem (Wortegem-Petegem);9790;Wortegem-Petegem;Niet-stedelijk;Elsegem (Wortegem-Petegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wortegem (Wortegem-Petegem);9790;Wortegem-Petegem;Niet-stedelijk;Wortegem (Wortegem-Petegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Loenhout (Wuustwezel);2990;Wuustwezel;Niet-stedelijk;Loenhout (Wuustwezel);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wuustwezel;2990;Wuustwezel;Niet-stedelijk;Wuustwezel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Massenhoven (Zandhoven);2240;Zandhoven;Niet-stedelijk;Massenhoven (Zandhoven);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Viersel (Zandhoven);2240;Zandhoven;Niet-stedelijk;Viersel (Zandhoven);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zandhoven;2240;Zandhoven;Niet-stedelijk;Zandhoven;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pulderbos (Zandhoven);2242;Zandhoven;Niet-stedelijk;Pulderbos (Zandhoven);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pulle (Zandhoven);2243;Zandhoven;Niet-stedelijk;Pulle (Zandhoven);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nossegem (Zaventem);1930;Zaventem;Niet-stedelijk;Nossegem (Zaventem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zaventem;1930;Zaventem;Niet-stedelijk;Zaventem;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Stevens-Woluwe (Zaventem);1932;Zaventem;Niet-stedelijk;Sint-Stevens-Woluwe (Zaventem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sterrebeek (Zaventem);1933;Zaventem;Niet-stedelijk;Sterrebeek (Zaventem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Loppem (Zedelgem);8210;Zedelgem;Niet-stedelijk;Loppem (Zedelgem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Veldegem (Zedelgem);8210;Zedelgem;Niet-stedelijk;Veldegem (Zedelgem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zedelgem;8210;Zedelgem;Niet-stedelijk;Zedelgem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aartrijke (Zedelgem);8211;Zedelgem;Niet-stedelijk;Aartrijke (Zedelgem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zele;9240;Zele;Niet-stedelijk;Zele;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zelzate;9060;Zelzate;Niet-stedelijk;Zelzate;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eppegem (Zemst);1980;Zemst;Niet-stedelijk;Eppegem (Zemst);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zemst;1980;Zemst;Niet-stedelijk;Zemst;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hofstade (Zemst);1981;Zemst;Niet-stedelijk;Hofstade (Zemst);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elewijt (Zemst);1982;Zemst;Niet-stedelijk;Elewijt (Zemst);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Weerde (Zemst);1982;Zemst;Niet-stedelijk;Weerde (Zemst);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Huise (Zingem);9750;Zingem;Niet-stedelijk;Huise (Zingem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ouwegem (Zingem);9750;Zingem;Niet-stedelijk;Ouwegem (Zingem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zingem;9750;Zingem;Niet-stedelijk;Zingem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Halle (Zoersel);2980;Zoersel;Niet-stedelijk;Halle (Zoersel);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zoersel;2980;Zoersel;Niet-stedelijk;Zoersel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zomergem;9930;Zomergem;Niet-stedelijk;Zomergem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zonhoven;3520;Zonhoven;Niet-stedelijk;Zonhoven;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beselare (Zonnebeke);8980;Zonnebeke;Niet-stedelijk;Beselare (Zonnebeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Geluveld (Zonnebeke);8980;Zonnebeke;Niet-stedelijk;Geluveld (Zonnebeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Passendale (Zonnebeke);8980;Zonnebeke;Niet-stedelijk;Passendale (Zonnebeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zandvoorde (Zonnebeke);8980;Zonnebeke;Niet-stedelijk;Zandvoorde (Zonnebeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zonnebeke;8980;Zonnebeke;Niet-stedelijk;Zonnebeke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elene (Zottegem);9620;Zottegem;Niet-stedelijk;Elene (Zottegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Godveerdegem (Zottegem);9620;Zottegem;Niet-stedelijk;Godveerdegem (Zottegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leeuwergem (Zottegem);9620;Zottegem;Niet-stedelijk;Leeuwergem (Zottegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Goriks-Oudenhove (Zottegem);9620;Zottegem;Niet-stedelijk;Sint-Goriks-Oudenhove (Zottegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Maria-Oudenhove Zottegem;9620;Zottegem;Niet-stedelijk;Sint-Maria-Oudenhove Zottegem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Strijpen (Zottegem);9620;Zottegem;Niet-stedelijk;Strijpen (Zottegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Velzeke-Ruddershove (Zottegem);9620;Zottegem;Niet-stedelijk;Velzeke-Ruddershove (Zottegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zottegem;9620;Zottegem;Niet-stedelijk;Zottegem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Helen-Bos (Zoutleeuw);3440;Zoutleeuw;Niet-stedelijk;Helen-Bos (Zoutleeuw);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zoutleeuw;3440;Zoutleeuw;Niet-stedelijk;Zoutleeuw;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Budingen (Zoutleeuw);3440;Zoutleeuw;Niet-stedelijk;Budingen (Zoutleeuw);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Houtave (Zuienkerke);8377;Zuienkerke;Niet-stedelijk;Houtave (Zuienkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meetkerke (Zuienkerke);8377;Zuienkerke;Niet-stedelijk;Meetkerke (Zuienkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwmunster (Zuienkerke);8377;Zuienkerke;Niet-stedelijk;Nieuwmunster (Zuienkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zuienkerke;8377;Zuienkerke;Niet-stedelijk;Zuienkerke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Machelen (Zulte);9870;Zulte;Niet-stedelijk;Machelen (Zulte);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Olsene (Zulte);9870;Zulte;Niet-stedelijk;Olsene (Zulte);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zulte;9870;Zulte;Niet-stedelijk;Zulte;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zutendaal;3690;Zutendaal;Niet-stedelijk;Zutendaal;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beerlegem (Zwalm);9630;Zwalm;Niet-stedelijk;Beerlegem (Zwalm);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dikkele (Zwalm);9630;Zwalm;Niet-stedelijk;Dikkele (Zwalm);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Munkzwalm (Zwalm);9630;Zwalm;Niet-stedelijk;Munkzwalm (Zwalm);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Paulatem (Zwalm);9630;Zwalm;Niet-stedelijk;Paulatem (Zwalm);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Blasius-Boekel (Zwalm);9630;Zwalm;Niet-stedelijk;Sint-Blasius-Boekel (Zwalm);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Maria-Latem (Zwalm);9630;Zwalm;Niet-stedelijk;Sint-Maria-Latem (Zwalm);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
